text,location,date,textHuman
"[""narendramodi"",""spending"",""time"",""family"",""learning"",""new"",""dishes"",""making"",""quilts"",""connecting"",""old"",""friends"",""reading"",""books""]","[21.23333,47.21667]",Sun Mar 29 11:51:27 +0000 2020," @narendramodi: Spending time with family. 

Learning new dishes.

Making quilts. 

Connecting with old friends. 

Reading books. 

Here…"
"[""siastiie"",""rindu"",""lockdown"",""kalian"",""masih"",""kuat"",""kan""]","[-43.10556,-22.23056]",Sun Mar 29 11:51:28 +0000 2020," @siastiie: Rindu + lockdown.

Kalian masih kuat kan?"
"[""bobmcnally"",""historical"",""color"",""moment"",""years"",""ago"",""month"",""when"",""tx"",""railroad"",""commission"",""decided"",""end"",""four"",""decades""]","[18.62526,46.00543]",Sun Mar 29 11:51:28 +0000 2020," @Bob_McNally: Some historical color on the moment 48 years ago this month when the TX Railroad Commission decided to end four decades of…"
"[""teejebs"",""dondekojo"",""one"",""insights"",""situation"",""possibility"",""government"",""officials"",""mostly""]","[3.39467,6.45407]",Sun Mar 29 11:51:28 +0000 2020," @teejebs: @dondekojo One of the insights from this Coronavirus situation is the possibility that our Government officials are mostly out…"
"[""hka"",""observations"",""modiji"",""during"",""covid"",""crisis"",""no"",""blame"",""games"",""politics"",""taking"",""tough"",""decisions"",""lockdown"",""mob""]","[80.27847,13.08784]",Sun Mar 29 11:51:28 +0000 2020," @HKA_2017: My Observations of Modiji during #Covid19 crisis
1. No blame games or politics
2. Taking tough decisions like lockdown
3. Mob…"
"[""bensabli"",""serious"",""rd"",""wave"",""surely"",""coming"",""projection"",""jp"",""morgan"",""inevitable"",""peak"",""infected"",""mid""]","[-2.23743,53.48095]",Sun Mar 29 11:51:28 +0000 2020," @bensabli: This is serious. The 3rd wave is surely coming.

The projection by JP Morgan might be inevitable. Peak 6000 infected by mid A…"
"[""oriolipaolo"",""bella"",""intervista"",""chiara"",""e"",""non"",""ansiogena"",""lockdown"",""pier"",""luigi"",""lopalco"",""spiega"",""il"",""picco"",""del"",""virus"",""e"",""linutilit""]","[11.67591,44.43166]",Sun Mar 29 11:51:28 +0000 2020," @OrioliPaolo: Bella intervista, chiara e non ansiogena
#coronavirus #lockdown 
Pier Luigi Lopalco spiega il picco del virus e l’inutilit…"
"[""kelsiphung"",""les"",""personnes"",""racisees"",""irresponsables"",""indisciplinees"",""les"",""personnes"",""blanches"",""organisees""]","[1.7726,45.81376]",Sun Mar 29 11:51:28 +0000 2020," @kelsiphung: Les personnes racisées : ""irresponsables"", ""indisciplinées""

Les personnes blanches :
""organisées"""
"[""just"",""posted"",""new"",""blog"",""go"",""church"",""today"",""amidst"",""pandemic"",""httpstcoaavhcrjv""]","[3.39467,6.45407]",Sun Mar 29 11:51:28 +0000 2020,I've just posted a new blog: Did You Go To Church Today Amidst The Coronavirus Pandemic? https://t.co/a62AVhcrJV
"[""kapilsibal"",""sarkar"",""ne"",""sirf"",""paise"",""walon"",""ki"",""help"",""ki"",""hai"",""unko"",""videsh"",""se"",""lakar"",""ko"",""bada"",""diya"",""aur"",""garib"",""ja"",""httpstcosykwnanbxm""]","[76.79336,34.9274]",Sun Mar 29 11:51:28 +0000 2020,@KapilSibal Is sarkar ne sirf paise walon ki help ki hai unko videsh se lakar coronavirus ko bada Diya aur garib ja… https://t.co/SYkwnAnbxm
